brand_name,model_number,model_number_normalized,source_note
Beverage-Air,BB48HC,BB48HC,us_commercial_refrigerator_brands_models.xlsx
Beverage-Air,BB72HC,BB72HC,us_commercial_refrigerator_brands_models.xlsx
Beverage-Air,MT27,MT27,us_commercial_refrigerator_brands_models.xlsx
Beverage-Air,MT45,MT45,us_commercial_refrigerator_brands_models.xlsx
Beverage-Air,SPE48HC,SPE48HC,us_commercial_refrigerator_brands_models.xlsx
Hoshizaki,HR1A-FS,HR1A-FS,us_commercial_refrigerator_brands_models.xlsx
Hoshizaki,HR2A-FS,HR2A-FS,us_commercial_refrigerator_brands_models.xlsx
Hoshizaki,HR3A-FS,HR3A-FS,us_commercial_refrigerator_brands_models.xlsx
Hoshizaki,F1A-FS,F1A-FS,us_commercial_refrigerator_brands_models.xlsx
Hoshizaki,F2A-FS,F2A-FS,us_commercial_refrigerator_brands_models.xlsx
Hoshizaki,PT1A-FS,PT1A-FS,us_commercial_refrigerator_brands_models.xlsx
Hoshizaki,PT2A-FS,PT2A-FS,us_commercial_refrigerator_brands_models.xlsx
Hoshizaki,HUC27A,HUC27A,us_commercial_refrigerator_brands_models.xlsx
Traulsen,G10010,G10010,us_commercial_refrigerator_brands_models.xlsx
Traulsen,G20010,G20010,us_commercial_refrigerator_brands_models.xlsx
Traulsen,G30010,G30010,us_commercial_refrigerator_brands_models.xlsx
Traulsen,G12010,G12010,us_commercial_refrigerator_brands_models.xlsx
Traulsen,G22010,G22010,us_commercial_refrigerator_brands_models.xlsx
Traulsen,UPT4812,UPT4812,us_commercial_refrigerator_brands_models.xlsx
Traulsen,UHT27,UHT27,us_commercial_refrigerator_brands_models.xlsx
Delfield,4448N,4448N,us_commercial_refrigerator_brands_models.xlsx
Delfield,4472N,4472N,us_commercial_refrigerator_brands_models.xlsx
Delfield,GAR1P-S,GAR1P-S,us_commercial_refrigerator_brands_models.xlsx
Delfield,GAR2P-S,GAR2P-S,us_commercial_refrigerator_brands_models.xlsx
Delfield,UC4048,UC4048,us_commercial_refrigerator_brands_models.xlsx
Delfield,UC4148,UC4148,us_commercial_refrigerator_brands_models.xlsx
Arctic Air,AR23,AR23,us_commercial_refrigerator_brands_models.xlsx
Arctic Air,AR49,AR49,us_commercial_refrigerator_brands_models.xlsx
Arctic Air,AR72,AR72,us_commercial_refrigerator_brands_models.xlsx
Arctic Air,AF23,AF23,us_commercial_refrigerator_brands_models.xlsx
Arctic Air,AF49,AF49,us_commercial_refrigerator_brands_models.xlsx
Arctic Air,AST48,AST48,us_commercial_refrigerator_brands_models.xlsx
Arctic Air,AST72,AST72,us_commercial_refrigerator_brands_models.xlsx
Arctic Air,ABB48,ABB48,us_commercial_refrigerator_brands_models.xlsx
Atosa,MBF8001,MBF8001,us_commercial_refrigerator_brands_models.xlsx
Atosa,MBF8002,MBF8002,us_commercial_refrigerator_brands_models.xlsx
Atosa,MBF8003,MBF8003,us_commercial_refrigerator_brands_models.xlsx
Atosa,MCF8701,MCF8701,us_commercial_refrigerator_brands_models.xlsx
Atosa,MPF8201,MPF8201,us_commercial_refrigerator_brands_models.xlsx
Atosa,MPF8202,MPF8202,us_commercial_refrigerator_brands_models.xlsx
Atosa,MBB59G,MBB59G,us_commercial_refrigerator_brands_models.xlsx
Everest,ESR1,ESR1,us_commercial_refrigerator_brands_models.xlsx
Everest,ESR2,ESR2,us_commercial_refrigerator_brands_models.xlsx
Everest,ESR3,ESR3,us_commercial_refrigerator_brands_models.xlsx
Everest,ESF1,ESF1,us_commercial_refrigerator_brands_models.xlsx
Everest,ESF2,ESF2,us_commercial_refrigerator_brands_models.xlsx
Everest,EPTWR2,EPTWR2,us_commercial_refrigerator_brands_models.xlsx
Everest,EBB59,EBB59,us_commercial_refrigerator_brands_models.xlsx
Continental,D1R,D1R,us_commercial_refrigerator_brands_models.xlsx
Continental,D2R,D2R,us_commercial_refrigerator_brands_models.xlsx
Continental,D3R,D3R,us_commercial_refrigerator_brands_models.xlsx
Continental,D1F,D1F,us_commercial_refrigerator_brands_models.xlsx
Continental,D2F,D2F,us_commercial_refrigerator_brands_models.xlsx
Continental,SW27,SW27,us_commercial_refrigerator_brands_models.xlsx
Migali,C-1R,C-1R,us_commercial_refrigerator_brands_models.xlsx
Migali,C-2R,C-2R,us_commercial_refrigerator_brands_models.xlsx
Migali,C-3R,C-3R,us_commercial_refrigerator_brands_models.xlsx
Migali,C-1F,C-1F,us_commercial_refrigerator_brands_models.xlsx
Migali,C-2F,C-2F,us_commercial_refrigerator_brands_models.xlsx
Migali,C-PP48,C-PP48,us_commercial_refrigerator_brands_models.xlsx
Master-Bilt,MBGR6,MBGR6,us_commercial_refrigerator_brands_models.xlsx
Master-Bilt,MBGR48,MBGR48,us_commercial_refrigerator_brands_models.xlsx
Master-Bilt,MBF8503,MBF8503,us_commercial_refrigerator_brands_models.xlsx
Master-Bilt,BMG23,BMG23,us_commercial_refrigerator_brands_models.xlsx
Avantco,A-23R-HC,A-23R-HC,us_commercial_refrigerator_brands_models.xlsx
Avantco,A-49R-HC,A-49R-HC,us_commercial_refrigerator_brands_models.xlsx
Avantco,APT-48-HC,APT-48-HC,us_commercial_refrigerator_brands_models.xlsx
Nor-Lake,KODF7766-C,KODF7766-C,us_commercial_refrigerator_brands_models.xlsx
Nor-Lake,KL7810-C,KL7810-C,us_commercial_refrigerator_brands_models.xlsx
Hussmann,RLN,RLN,us_commercial_refrigerator_brands_models.xlsx
Hussmann,D5X,D5X,us_commercial_refrigerator_brands_models.xlsx
Hussmann,Excel,EXCEL,us_commercial_refrigerator_brands_models.xlsx
Hussmann,Innovator,INNOVATOR,us_commercial_refrigerator_brands_models.xlsx
Hillphoenix,O5DM,O5DM,us_commercial_refrigerator_brands_models.xlsx
Hillphoenix,O6DM,O6DM,us_commercial_refrigerator_brands_models.xlsx
Hillphoenix,RGD,RGD,us_commercial_refrigerator_brands_models.xlsx
Anthony,101 Series,101 SERIES,us_commercial_refrigerator_brands_models.xlsx
Anthony,401 Series,401 SERIES,us_commercial_refrigerator_brands_models.xlsx
Zero Zone,Reveal,REVEAL,us_commercial_refrigerator_brands_models.xlsx
Zero Zone,Genesis,GENESIS,us_commercial_refrigerator_brands_models.xlsx
Kolpak,Kold Locker Series,KOLD LOCKER SERIES,us_commercial_refrigerator_brands_models.xlsx
AmeriKooler,QC060872 Series,QC060872 SERIES,us_commercial_refrigerator_brands_models.xlsx
