brand,url,segment,parts_site,parts_url
True,https://www.truemfg.com/products/,commercial,True Parts,https://www.truemfg.com/support/parts/
Hoshizaki,https://www.hoshizakiamerica.com/product-category/r/r-u/,commercial,Parts Town,https://www.partstown.com/hoshizaki/parts
Traulsen,https://www.traulsen.com/products/refrigerators-freezers,commercial,Parts Town,https://www.partstown.com/traulsen/parts
Beverage-Air,https://beverage-air.com/refrigeration/,commercial,Parts Town,https://www.partstown.com/beverage-air/parts
Turbo Air,https://www.turboairinc.com/refrigeration/,commercial,Parts Town,https://www.partstown.com/turbo-air/parts
Continental Refrigerator,https://www.continentalrefrigerator.com/refrigerators/,commercial,Parts Town,https://www.partstown.com/continental-refrigerator/parts
Delfield,https://www.delfield.com/products/refrigeration,commercial,Parts Town,https://www.partstown.com/delfield/parts
Randell,https://randell.com/products/refrigeration/,commercial,Parts Town,https://www.partstown.com/randell/parts
Nor-Lake,https://www.norlake.com/products/,commercial,Parts Town,https://www.partstown.com/nor-lake/parts
Arctic Air,https://www.arcticairco.com/,commercial,Parts Town,https://www.partstown.com/arctic-air/parts
Atosa,https://www.atosausa.com/refrigeration/,commercial,Parts Town,https://www.partstown.com/atosa/parts
Victory,https://www.victoryrefrigeration.com/,commercial,Parts Town,https://www.partstown.com/victory/parts
Perlick,https://www.perlick.com/commercial/products/refrigeration/,commercial,Parts Town,https://www.partstown.com/perlick/parts
Master-Bilt,https://www.master-bilt.com/products/,commercial,Parts Town,https://www.partstown.com/master-bilt/parts
Avantco,https://www.avantcoequipment.com/refrigeration.html,commercial,WebstaurantStore,https://www.webstaurantstore.com/vendor/avantco-refrigeration.html
Maxx Cold,https://www.maxximumfoodservice.com/maxx-cold/,commercial,Parts Town,https://www.partstown.com/maxx-cold/parts
Migali,https://migalicommercial.com/refrigeration/,commercial,Parts Town,https://www.partstown.com/migali/parts
Everest,https://everestref.com/refrigeration/,commercial,Parts Town,https://www.partstown.com/everest/parts
Koolmore,https://www.koolmore.com/collections/commercial-refrigeration,commercial,Parts Town,https://www.partstown.com/koolmore/parts
MoTak,https://www.katom.com/cat/motak-refrigeration.html,commercial,KaTom,https://www.katom.com/cat/motak-refrigeration.html
Glastender,https://www.glastender.com/products/refrigeration/,commercial,Parts Town,https://www.partstown.com/glastender/parts
Kairak,https://kairak.com/refrigeration/,commercial,Parts Town,https://www.partstown.com/kairak/parts
Kolpak,https://www.kolpak.com/products/walk-in-coolers-freezers/,commercial,Parts Town,https://www.partstown.com/kolpak/parts
Bally Refrigerated Boxes,https://www.ballyrefboxes.com/,commercial,Parts Town,https://www.partstown.com/bally/parts
American Panel,https://americanpanel.com/walk-in-coolers-freezers/,commercial,Parts Town,https://www.partstown.com/american-panel/parts
Thermo-Kool,https://thermokool.com/,commercial,Parts Town,https://www.partstown.com/thermo-kool/parts
Vollrath,https://www.vollrathfoodservice.com/products/foodservice-equipment/refrigeration/,commercial,Parts Town,https://www.partstown.com/vollrath/parts
Silver King,https://www.silverking.com/products/,commercial,Parts Town,https://www.partstown.com/silver-king/parts
